Verkehrstage;Starthafen;Abfahrt;Schiff;Zielhafen;Ankunft;Verkehrsart;Bezeichnung;Rundfahrt;Kapazität;Sicht+buchbar;Handkasse;Automat;Spezial;Urlaubsservice;Kurbeitragskontrolle;Banderole ;Ein-Aussteiger
21.01.2018;NS;10:45:00;SP1;SP;11:25:00;1;Fahrplan 2018;0;10;1;1;1;;1;0;Banderole 1;0
21.01.2018;NS;15:30:00;SP1;SP;16:10:00;1;Fahrplan 2018;0;10;1;1;1;;1;0;Banderole 1;0
22.01.2018;NS;17:40:00;SP1;SP;18:20:00;1;Fahrplan 2018;0;10;1;1;1;;1;0;Banderole 1;0
23.01.2018;NS;18:15:00;SP1;SP;18:55:00;1;Fahrplan 2018;0;10;1;1;1;;1;0;Banderole 1;0
24.01.2018;NS;18:40:00;SP1;SP;19:20:00;1;Fahrplan 2018;0;10;1;1;1;;1;0;Banderole 1;0
25.01.2018;NS;14:00:00;SP1;SP;14:40:00;1;Fahrplan 2018;0;10;1;1;1;;1;0;Banderole 1;0
25.01.2018;NS;19:40:00;SP1;SP;20:20:00;1;Fahrplan 2018;0;10;1;1;1;;1;0;Banderole 1;0
26.01.2018;NS;14:00:00;SP1;SP;14:40:00;1;Fahrplan 2018;0;10;1;1;1;;1;0;Banderole 1;0
26.01.2018;NS;19:40:00;SP1;SP;20:20:00;1;Fahrplan 2018;0;10;1;1;1;;1;0;Banderole 1;0
27.01.2018;NS;09:00:00;SP1;SP;09:40:00;1;Fahrplan 2018;0;10;1;1;1;;1;0;Banderole 1;0
27.01.2018;NS;17:40:00;SP1;SP;18:20:00;1;Fahrplan 2018;0;10;1;1;1;;1;0;Banderole 1;0
28.01.2018;NS;10:15:00;SP1;SP;10:55:00;1;Fahrplan 2018;0;10;1;1;1;;1;0;Banderole 1;0
28.01.2018;NS;17:40:00;SP1;SP;18:20:00;1;Fahrplan 2018;0;10;1;1;1;;1;0;Banderole 1;0
30.01.2018;NS;20:15:00;SP1;SP;20:55:00;1;Fahrplan 2018;0;10;1;1;1;;1;0;Banderole 1;0
01.02.2018;NS;14:40:00;SP1;SP;15:20:00;1;Fahrplan 2018;0;10;1;1;1;;1;0;Banderole 1;0
02.02.2018;NS;10:45:00;SP1;SP;11:25:00;1;Fahrplan 2018;0;10;1;1;1;;1;0;Banderole 1;0
02.02.2018;NS;15:40:00;SP1;SP;16:20:00;1;Fahrplan 2018;0;10;1;1;1;;1;0;Banderole 1;0
03.02.2018;NS;11:15:00;SP1;SP;11:55:00;1;Fahrplan 2018;0;10;1;1;1;;1;0;Banderole 1;0
03.02.2018;NS;16:30:00;SP1;SP;17:10:00;1;Fahrplan 2018;0;10;1;1;1;;1;0;Banderole 1;0
04.02.2018;NS;12:00:00;SP1;SP;12:40:00;1;Fahrplan 2018;0;10;1;1;1;;1;0;Banderole 1;0
04.02.2018;NS;17:15:00;SP1;SP;17:55:00;1;Fahrplan 2018;0;10;1;1;1;;1;0;Banderole 1;0
05.02.2018;NS;13:00:00;SP1;SP;13:40:00;1;Fahrplan 2018;0;10;1;1;1;;1;0;Banderole 1;0
05.02.2018;NS;17:40:00;SP1;SP;18:20:00;1;Fahrplan 2018;0;10;1;1;1;;1;0;Banderole 1;0
06.02.2018;NS;13:15:00;SP1;SP;13:55:00;1;Fahrplan 2018;0;10;1;1;1;;1;0;Banderole 1;0
06.02.2018;NS;18:40:00;SP1;SP;19:20:00;1;Fahrplan 2018;0;10;1;1;1;;1;0;Banderole 1;0
07.02.2018;NS;13:40:00;SP1;SP;14:20:00;1;Fahrplan 2018;0;10;1;1;1;;1;0;Banderole 1;0
07.02.2018;NS;18:40:00;SP1;SP;19:20:00;1;Fahrplan 2018;0;10;1;1;1;;1;0;Banderole 1;0
08.02.2018;NS;13:00:00;SP1;SP;13:40:00;1;Fahrplan 2018;0;10;1;1;1;;1;0;Banderole 1;0
08.02.2018;NS;18:40:00;SP1;SP;19:20:00;1;Fahrplan 2018;0;10;1;1;1;;1;0;Banderole 1;0
09.02.2018;NS;15:15:00;SP1;SP;15:55:00;1;Fahrplan 2018;0;10;1;1;1;;1;0;Banderole 1;0
09.02.2018;NS;19:40:00;SP1;SP;20:20:00;1;Fahrplan 2018;0;10;1;1;1;;1;0;Banderole 1;0
10.02.2018;NS;09:15:00;SP1;SP;09:55:00;1;Fahrplan 2018;0;10;1;1;1;;1;0;Banderole 1;0
10.02.2018;NS;17:40:00;SP1;SP;18:20:00;1;Fahrplan 2018;0;10;1;1;1;;1;0;Banderole 1;0
11.02.2018;NS;10:40:00;SP1;SP;11:20:00;1;Fahrplan 2018;0;10;1;1;1;;1;0;Banderole 1;0
11.02.2018;NS;18:15:00;SP1;SP;18:55:00;1;Fahrplan 2018;0;10;1;1;1;;1;0;Banderole 1;0
12.02.2018;NS;10:40:00;SP1;SP;11:20:00;1;Fahrplan 2018;0;10;1;1;1;;1;0;Banderole 1;0
12.02.2018;NS;17:45:00;SP1;SP;18:25:00;1;Fahrplan 2018;0;10;1;1;1;;1;0;Banderole 1;0
13.02.2018;NS;11:10:00;SP1;SP;11:50:00;1;Fahrplan 2018;0;10;1;1;1;;1;0;Banderole 1;0
13.02.2018;NS;18:45:00;SP1;SP;19:25:00;1;Fahrplan 2018;0;10;1;1;1;;1;0;Banderole 1;0
14.02.2018;NS;11:10:00;SP1;SP;11:50:00;1;Fahrplan 2018;0;10;1;1;1;;1;0;Banderole 1;0
14.02.2018;NS;19:20:00;SP1;SP;20:00:00;1;Fahrplan 2018;0;10;1;1;1;;1;0;Banderole 1;0
15.02.2018;NS;09:00:00;SP1;SP;09:40:00;1;Fahrplan 2018;0;10;1;1;1;;1;0;Banderole 1;0
15.02.2018;NS;13:00:00;SP1;SP;13:40:00;1;Fahrplan 2018;0;10;1;1;1;;1;0;Banderole 1;0
16.02.2018;NS;09:45:00;SP1;SP;10:25:00;1;Fahrplan 2018;0;10;1;1;1;;1;0;Banderole 1;0
16.02.2018;NS;13:45:00;SP1;SP;14:25:00;1;Fahrplan 2018;0;10;1;1;1;;1;0;Banderole 1;0
17.02.2018;NS;09:00:00;SP1;SP;09:40:00;1;Fahrplan 2018;0;10;1;1;1;;1;0;Banderole 1;0
17.02.2018;NS;14:10:00;SP1;SP;14:50:00;1;Fahrplan 2018;0;10;1;1;1;;1;0;Banderole 1;0
18.02.2018;NS;09:45:00;SP1;SP;10:25:00;1;Fahrplan 2018;0;10;1;1;1;;1;0;Banderole 1;0
18.02.2018;NS;14:45:00;SP1;SP;15:25:00;1;Fahrplan 2018;0;10;1;1;1;;1;0;Banderole 1;0
19.02.2018;NS;10:00:00;SP1;SP;10:40:00;1;Fahrplan 2018;0;10;1;1;1;;1;0;Banderole 1;0
19.02.2018;NS;15:10:00;SP1;SP;15:50:00;1;Fahrplan 2018;0;10;1;1;1;;1;0;Banderole 1;0
20.02.2018;NS;16:00:00;SP1;SP;16:40:00;1;Fahrplan 2018;0;10;1;1;1;;1;0;Banderole 1;0
21.02.2018;NS;16:40:00;SP1;SP;17:20:00;1;Fahrplan 2018;0;10;1;1;1;;1;0;Banderole 1;0
22.02.2018;NS;17:10:00;SP1;SP;17:50:00;1;Fahrplan 2018;0;10;1;1;1;;1;0;Banderole 1;0
23.02.2018;NS;06:40:00;SP1;SP;07:20:00;1;Fahrplan 2018;0;10;0;0;0;;0;0;Banderole 1;0
23.02.2018;NS;17:45:00;SP1;SP;18:25:00;1;Fahrplan 2018;0;10;1;1;1;;1;0;Banderole 1;0
24.02.2018;NS;06:10:00;SP1;SP;06:50:00;1;Fahrplan 2018;0;10;1;1;1;;1;0;Banderole 1;0
24.02.2018;NS;13:00:00;SP1;SP;13:40:00;1;Fahrplan 2018;0;10;1;1;1;;1;0;Banderole 1;0
24.02.2018;NS;17:45:00;SP1;SP;18:25:00;1;Fahrplan 2018;0;10;1;1;1;;1;0;Banderole 1;0
25.02.2018;NS;15:10:00;SP1;SP;15:50:00;1;Fahrplan 2018;0;10;1;1;1;;1;0;Banderole 1;0
26.02.2018;NS;07:00:00;SP1;SP;07:40:00;1;Fahrplan 2018;0;10;1;1;1;;1;0;Banderole 1;0
26.02.2018;NS;16:40:00;SP1;SP;17:20:00;1;Fahrplan 2018;0;10;1;1;1;;1;0;Banderole 1;0
27.02.2018;NS;07:00:00;SP1;SP;07:40:00;1;Fahrplan 2018;0;10;1;1;1;;1;0;Banderole 1;0
27.02.2018;NS;17:45:00;SP1;SP;18:25:00;1;Fahrplan 2018;0;10;1;1;1;;1;0;Banderole 1;0
28.02.2018;NS;08:00:00;SP1;SP;08:40:00;1;Fahrplan 2018;0;10;1;1;1;;1;0;Banderole 1;0
28.02.2018;NS;18:45:00;SP1;SP;19:25:00;1;Fahrplan 2018;0;10;1;1;1;;1;0;Banderole 1;0
01.03.2018;NS;07:30:00;SP1;SP;08:10:00;1;Fahrplan 2018;0;10;1;1;1;;1;0;Banderole 1;0
01.03.2018;NS;12:00:00;SP1;SP;12:40:00;1;Fahrplan 2018;0;10;1;1;1;;1;0;Banderole 1;0
01.03.2018;NS;19:45:00;SP1;SP;20:25:00;1;Fahrplan 2018;0;10;1;1;1;;1;0;Banderole 1;0
02.03.2018;NS;08:45:00;SP1;SP;09:25:00;1;Fahrplan 2018;0;10;1;1;1;;1;0;Banderole 1;0
02.03.2018;NS;13:20:00;SP1;SP;14:00:00;1;Fahrplan 2018;0;10;1;1;1;;1;0;Banderole 1;0
02.03.2018;NS;20:30:00;SP1;SP;21:10:00;1;Fahrplan 2018;0;10;1;1;1;;1;0;Banderole 1;0
03.03.2018;NS;09:00:00;SP1;SP;09:40:00;1;Fahrplan 2018;0;10;1;1;1;;1;0;Banderole 1;0
03.03.2018;NS;14:10:00;SP1;SP;14:50:00;1;Fahrplan 2018;0;10;1;1;1;;1;0;Banderole 1;0
04.03.2018;NS;09:45:00;SP1;SP;10:25:00;1;Fahrplan 2018;0;10;1;1;1;;1;0;Banderole 1;0
04.03.2018;NS;14:50:00;SP1;SP;15:30:00;1;Fahrplan 2018;0;10;1;1;1;;1;0;Banderole 1;0
05.03.2018;NS;10:30:00;SP1;SP;11:10:00;1;Fahrplan 2018;0;10;1;1;1;;1;0;Banderole 1;0
05.03.2018;NS;15:25:00;SP1;SP;16:05:00;1;Fahrplan 2018;0;10;1;1;1;;1;0;Banderole 1;0
06.03.2018;NS;11:00:00;SP1;SP;11:40:00;1;Fahrplan 2018;0;10;1;1;1;;1;0;Banderole 1;0
06.03.2018;NS;16:10:00;SP1;SP;16:50:00;1;Fahrplan 2018;0;10;1;1;1;;1;0;Banderole 1;0
07.03.2018;NS;11:25:00;SP1;SP;12:05:00;1;Fahrplan 2018;0;10;1;1;1;;1;0;Banderole 1;0
07.03.2018;NS;16:45:00;SP1;SP;17:25:00;1;Fahrplan 2018;0;10;1;1;1;;1;0;Banderole 1;0
08.03.2018;NS;06:00:00;SP1;SP;06:40:00;1;Fahrplan 2018;0;10;1;1;1;;1;0;Banderole 1;0
08.03.2018;NS;17:10:00;SP1;SP;17:50:00;1;Fahrplan 2018;0;10;1;1;1;;1;0;Banderole 1;0
09.03.2018;NS;06:45:00;SP1;SP;07:25:00;1;Fahrplan 2018;0;10;1;1;1;;1;0;Banderole 1;0
09.03.2018;NS;17:45:00;SP1;SP;18:25:00;1;Fahrplan 2018;0;10;1;1;1;;1;0;Banderole 1;0
10.03.2018;NS;12:45:00;SP1;SP;13:25:00;1;Fahrplan 2018;0;10;1;1;1;;1;0;Banderole 1;0
10.03.2018;NS;18:00:00;SP1;SP;18:40:00;1;Fahrplan 2018;0;10;1;1;1;;1;0;Banderole 1;0
11.03.2018;NS;14:00:00;SP1;SP;14:40:00;1;Fahrplan 2018;0;10;1;1;1;;1;0;Banderole 1;0
11.03.2018;NS;18:45:00;SP1;SP;19:25:00;1;Fahrplan 2018;0;10;1;1;1;;1;0;Banderole 1;0
12.03.2018;NS;07:00:00;SP1;SP;07:40:00;1;Fahrplan 2018;0;10;1;1;1;;1;0;Banderole 1;0
12.03.2018;NS;16:45:00;SP1;SP;17:25:00;1;Fahrplan 2018;0;10;1;1;1;;1;0;Banderole 1;0
13.03.2018;NS;07:00:00;SP1;SP;07:40:00;1;Fahrplan 2018;0;10;1;1;1;;1;0;Banderole 1;0
13.03.2018;NS;17:00:00;SP1;SP;17:40:00;1;Fahrplan 2018;0;10;1;1;1;;1;0;Banderole 1;0
14.03.2018;NS;09:45:00;SP1;SP;10:25:00;1;Fahrplan 2018;0;10;1;1;1;;1;0;Banderole 1;0
14.03.2018;NS;18:10:00;SP1;SP;18:50:00;1;Fahrplan 2018;0;10;1;1;1;;1;0;Banderole 1;0
15.03.2018;NS;07:00:00;SP1;SP;07:40:00;1;Fahrplan 2018;0;10;1;1;1;;1;0;Banderole 1;0
15.03.2018;NS;12:00:00;SP1;SP;12:40:00;1;Fahrplan 2018;0;10;1;1;1;;1;0;Banderole 1;0
15.03.2018;NS;19:00:00;SP1;SP;19:40:00;1;Fahrplan 2018;0;10;1;1;1;;1;0;Banderole 1;0
16.03.2018;NS;19:45:00;SP1;SP;20:25:00;1;Fahrplan 2018;0;10;1;1;1;;1;0;Banderole 1;0
17.03.2018;NS;11:00:00;SP1;SP;11:40:00;1;Fahrplan 2018;0;10;1;1;1;;1;0;Banderole 1;0
18.03.2018;NS;10:00:00;SP1;SP;10:40:00;1;Fahrplan 2018;0;10;1;1;1;;1;0;Banderole 1;0
18.03.2018;NS;13:45:00;SP1;SP;14:25:00;1;Fahrplan 2018;0;10;1;1;1;;1;0;Banderole 1;0
19.03.2018;NS;14:10:00;SP1;SP;14:50:00;1;Fahrplan 2018;0;1;1;1;1;;1;0;Banderole 1;0
20.03.2018;NS;09:45:00;SP1;SP;10:25:00;1;Fahrplan 2018;0;1;1;1;1;;1;0;Banderole 1;0
20.03.2018;NS;15:00:00;SP1;SP;15:40:00;1;Fahrplan 2018;0;1;1;1;1;;1;0;Banderole 1;0
21.03.2018;NS;10:30:00;SP1;SP;11:10:00;1;Fahrplan 2018;0;1;1;1;1;;1;0;Banderole 1;0
22.03.2018;NS;16:10:00;SP1;SP;16:50:00;1;Fahrplan 2018;0;1;1;1;1;;1;0;Banderole 1;0
24.03.2018;NS;12:00:00;SP1;SP;12:40:00;1;Fahrplan 2018;0;1;1;1;1;;1;0;Banderole 1;0
25.03.2018;NS;13:45:00;SP1;SP;15:15:00;1;Fahrplan 2018;0;1;1;1;1;;1;0;Banderole 1;0
25.03.2018;NS;17:10:00;SP1;SP;17:50:00;1;Fahrplan 2018;0;1;1;1;1;;1;0;Banderole 1;0
27.03.2018;NS;17:10:00;SP1;SP;17:50:00;1;Fahrplan 2018;0;1;1;1;1;;1;0;Banderole 1;0
29.03.2018;NS;11:45:00;SP1;SP;12:25:00;1;Fahrplan 2018;0;1;1;1;1;;1;0;Banderole 1;0
30.03.2018;NS;13:20:00;SP1;SP;14:00:00;1;Fahrplan 2018;0;1;1;1;1;;1;0;Banderole 1;0
31.03.2018;NS;09:00:00;SP1;SP;09:40:00;1;Fahrplan 2018;0;1;1;1;1;;1;0;Banderole 1;0
31.03.2018;NS;14:10:00;SP1;SP;14:50:00;1;Fahrplan 2018;0;1;1;1;1;;1;0;Banderole 1;0
01.04.2018;NS;10:00:00;SP1;SP;10:40:00;1;Fahrplan 2018;0;1;1;1;1;;1;0;Banderole 1;0
01.04.2018;NS;14:45:00;SP1;SP;15:25:00;1;Fahrplan 2018;0;1;1;1;1;;1;0;Banderole 1;0
02.04.2018;NS;10:45:00;SP1;SP;11:25:00;1;Fahrplan 2018;0;1;1;1;1;;1;0;Banderole 1;0
02.04.2018;NS;15:00:00;SP1;SP;15:40:00;1;Fahrplan 2018;0;1;1;1;1;;1;0;Banderole 1;0
03.04.2018;NS;11:00:00;SP1;SP;11:40:00;1;Fahrplan 2018;0;1;1;1;1;;1;0;Banderole 1;0
04.04.2018;NS;11:30:00;SP1;SP;12:10:00;1;Fahrplan 2018;0;1;1;1;1;;1;0;Banderole 1;0
04.04.2018;NS;16:45:00;SP1;SP;17:25:00;1;Fahrplan 2018;0;1;1;1;1;;1;0;Banderole 1;0
05.04.2018;NS;12:00:00;SP1;SP;12:40:00;1;Fahrplan 2018;0;1;1;1;1;;1;0;Banderole 1;0
05.04.2018;NS;16:45:00;SP1;SP;17:25:00;1;Fahrplan 2018;0;1;1;1;1;;1;0;Banderole 1;0
07.04.2018;NS;07:20:00;SP1;SP;08:00:00;1;Fahrplan 2018;0;1;1;1;1;;1;0;Banderole 1;0
07.04.2018;NS;17:45:00;SP1;SP;18:25:00;1;Fahrplan 2018;0;1;1;1;1;;1;0;Banderole 1;0
08.04.2018;NS;13:00:00;SP1;SP;13:40:00;1;Fahrplan 2018;0;1;1;1;1;;1;0;Banderole 1;0
06.05.2018;NS;12:15:00;SP1;SP;12:55:00;1;Fahrplan 2018;0;1;1;1;1;;1;0;Banderole 1;0
06.05.2018;NS;17:00:00;SP1;SP;17:40:00;1;Fahrplan 2018;0;1;1;1;1;;1;0;Banderole 1;0
07.05.2018;NS;12:45:00;SP1;SP;13:25:00;1;Fahrplan 2018;0;1;1;1;1;;1;0;Banderole 1;0
08.05.2018;NS;13:15:00;SP1;SP;14:45:00;1;Fahrplan 2018;0;1;1;1;1;;1;0;Banderole 1;0
08.05.2018;NS;16:45:00;SP1;SP;17:25:00;1;Fahrplan 2018;0;1;1;1;1;;1;0;Banderole 1;0
09.05.2018;NS;15:10:00;SP1;SP;15:50:00;1;Fahrplan 2018;0;1;1;1;1;;1;0;Banderole 1;0
10.05.2018;NS;09:10:00;SP1;SP;09:50:00;1;Fahrplan 2018;0;1;1;1;1;;1;0;Banderole 1;0
11.05.2018;NS;11:00:00;SP1;SP;11:40:00;1;Fahrplan 2018;0;1;1;1;1;;1;0;Banderole 1;0
12.05.2018;NS;10:40:00;SP1;SP;11:20:00;1;Fahrplan 2018;0;1;1;1;1;;1;0;Banderole 1;0
13.05.2018;NS;09:00:00;SP1;SP;09:40:00;1;Fahrplan 2018;0;1;1;1;1;;1;0;Banderole 1;0
13.05.2018;NS;12:00:00;SP1;SP;12:40:00;1;Fahrplan 2018;0;1;1;1;1;;1;0;Banderole 1;0
14.05.2018;NS;09:40:00;SP1;SP;10:20:00;1;Fahrplan 2018;0;1;1;1;1;;1;0;Banderole 1;0
14.05.2018;NS;13:10:00;SP1;SP;13:50:00;1;Fahrplan 2018;0;1;1;1;1;;1;0;Banderole 1;0
15.05.2018;NS;10:15:00;SP1;SP;11:45:00;1;Fahrplan 2018;0;1;1;1;1;;1;0;Banderole 1;0
15.05.2018;NS;13:45:00;SP1;SP;14:25:00;1;Fahrplan 2018;0;1;1;1;1;;1;0;Banderole 1;0
16.05.2018;NS;09:45:00;SP1;SP;10:25:00;1;Fahrplan 2018;0;1;1;1;1;;1;0;Banderole 1;0
16.05.2018;NS;14:10:00;SP1;SP;14:50:00;1;Fahrplan 2018;0;1;1;1;1;;1;0;Banderole 1;0
17.05.2018;NS;11:45:00;SP1;SP;13:15:00;1;Fahrplan 2018;0;1;1;1;1;;1;0;Banderole 1;0
17.05.2018;NS;15:10:00;SP1;SP;15:50:00;1;Fahrplan 2018;0;1;1;1;1;;1;0;Banderole 1;0
18.05.2018;NS;13:00:00;SP1;SP;13:40:00;1;Fahrplan 2018;0;1;1;1;1;;1;0;Banderole 1;0
18.05.2018;NS;16:00:00;SP1;SP;16:40:00;1;Fahrplan 2018;0;1;1;1;1;;1;0;Banderole 1;0
19.05.2018;NS;11:45:00;SP1;SP;12:25:00;1;Fahrplan 2018;0;1;1;1;1;;1;0;Banderole 1;0
19.05.2018;NS;15:45:00;SP1;SP;16:25:00;1;Fahrplan 2018;0;1;1;1;1;;1;0;Banderole 1;0
20.05.2018;NS;12:00:00;SP1;SP;12:40:00;1;Fahrplan 2018;0;1;1;1;1;;1;0;Banderole 1;0
20.05.2018;NS;16:45:00;SP1;SP;17:25:00;1;Fahrplan 2018;0;1;1;1;1;;1;0;Banderole 1;0
21.05.2018;NS;13:00:00;SP1;SP;13:40:00;1;Fahrplan 2018;0;1;1;1;1;;1;0;Banderole 1;0
21.05.2018;NS;17:00:00;SP1;SP;17:40:00;1;Fahrplan 2018;0;1;1;1;1;;1;0;Banderole 1;0
22.05.2018;NS;13:45:00;SP1;SP;14:25:00;1;Fahrplan 2018;0;1;1;1;1;;1;0;Banderole 1;0
25.05.2018;NS;10:40:00;SP1;SP;11:20:00;1;Fahrplan 2018;0;1;1;1;1;;1;0;Banderole 1;0
25.05.2018;NS;18:00:00;SP1;SP;18:40:00;1;Fahrplan 2018;0;1;1;1;1;;1;0;Banderole 1;0
26.05.2018;NS;11:00:00;SP1;SP;11:40:00;1;Fahrplan 2018;0;1;1;1;1;;1;0;Banderole 1;0
27.05.2018;NS;12:00:00;SP1;SP;12:40:00;1;Fahrplan 2018;0;1;1;1;1;;1;0;Banderole 1;0
28.05.2018;NS;13:10:00;SP1;SP;13:50:00;1;Fahrplan 2018;0;1;1;1;1;;1;0;Banderole 1;0
29.05.2018;NS;14:00:00;SP1;SP;14:40:00;1;Fahrplan 2018;0;1;1;1;1;;1;0;Banderole 1;0
30.05.2018;NS;14:25:00;SP1;SP;15:05:00;1;Fahrplan 2018;0;1;1;1;1;;1;0;Banderole 1;0
31.05.2018;NS;09:45:00;SP1;SP;10:25:00;1;Fahrplan 2018;0;1;1;1;1;;1;0;Banderole 1;0
31.05.2018;NS;15:00:00;SP1;SP;15:40:00;1;Fahrplan 2018;0;1;1;1;1;;1;0;Banderole 1;0
01.06.2018;NS;10:45:00;SP1;SP;11:25:00;1;Fahrplan 2018;0;1;1;1;1;;1;0;Banderole 1;0
03.06.2018;NS;11:45:00;SP1;SP;12:25:00;1;Fahrplan 2018;0;1;1;1;1;;1;0;Banderole 1;0
03.06.2018;NS;16:45:00;SP1;SP;17:25:00;1;Fahrplan 2018;0;1;1;1;1;;1;0;Banderole 1;0
05.06.2018;NS;12:45:00;SP1;SP;13:25:00;1;Fahrplan 2018;0;1;1;1;1;;1;0;Banderole 1;0
